"item","cluster","uncertainty","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","F1","F2","F3"
"B4Q3A",1,0,1,0,0,0,0,0,0,0,-1.4781,-1.9844,-1.0805
"B4Q3B",1,0,1,0,0,0,0,0,0,0,0.8118,-2.6889,-0.9905
"B4Q3C",2,0,0,1,0,0,0,0,0,0,1.3138,2.9378,-0.9338
"B4Q3D",2,0,0,1,0,0,0,0,0,0,0.8642,2.6327,-1.2642
"B4Q3E",3,0.0015,0,0,0.998,0,0,0.002,0,0,-3.09,-1.796,0.3469
"B4Q3F",2,0.433,0,0.567,0,0.433,0,0,0,0,2.257,2.7353,-0.6154
"B4Q3G",1,2e-04,1,0,0,0,0,0,0,0,-0.3488,-0.7069,-1.7479
"B4Q3H",4,0,0,0,0,1,0,0,0,0,1.9277,3.4079,0.3176
"B4Q3I",2,0,0,1,0,0,0,0,0,0,0.4036,2.016,-1.6432
"B4Q3J",2,0,0,1,0,0,0,0,0,0,2.1834,0.9457,-1.5066
"B4Q3K",3,0,0,0,1,0,0,0,0,0,-2.4004,-2.8237,2.0514
"B4Q3L",4,0,0,0,0,1,0,0,0,0,2.3875,3.1922,0.4838
"B4Q3M",5,0,0,0,0,0,1,0,0,0,-2.3576,-0.5595,4.4818
"B4Q3N",2,0,0,1,0,0,0,0,0,0,1.8798,2.3199,-1.1284
"B4Q3O",6,0.2978,0,0,0,0,0,0.702,0.298,0,-1.9939,1.6948,-0.9413
"B4Q3P",4,0,0,0,0,1,0,0,0,0,2.015,3.3808,0.701
"B4Q3Q",6,0,0,0,0,0,0,1,0,0,-3.4334,0.7027,0.626
"B4Q3R",2,0,0,1,0,0,0,0,0,0,1.4051,3.114,-0.7438
"B4Q3S",7,0,0,0,0,0,0,0,1,0,-0.3972,3.5441,0.1665
"B4Q3T",2,0.0511,0,0.949,0,0,0,0,0.051,0,0.113,2.9563,-1.1087
"B4BSCL14",7,0,0,0,0,0,0,0,1,0,-1.9801,2.9235,0.6768
"B4BNE12",3,0.0083,0,0,0.992,0,0,0.008,0,0,-2.8015,-1.9327,-0.1276
"B4BIL6",1,0,1,0,0,0,0,0,0,0,0.2287,-2.6449,-0.9961
"B4BFGN",1,0,1,0,0,0,0,0,0,0,1.7465,-3.6837,-0.1132
"B4BCRP",6,0.0502,0.05,0,0,0,0,0.95,0,0,-2.2926,-1.261,-1.0575
"wl_immediate_omit",7,0.0779,0,0,0,0,0,0.078,0.922,0,-2.7495,1.9332,0.2678
"wl_immediate_repetition",5,0,0,0,0,0,1,0,0,0,-0.4186,1.9464,4.0112
"wl_immediate_intrusion",3,1e-04,0,0,1,0,0,0,0,0,-3.5651,-0.8437,1.216
"wl_delayed_omit",7,0.001,0,0,0,0,0,0.001,0.999,0,-2.5379,2.25,0.3139
"wl_delayed_repetition",5,0,0,0,0,0,1,0,0,0,-2.0753,-0.4912,4.6935
"wl_delayed_intrusion",5,0.0023,0,0,0,0,0.998,0,0.002,0,-2.1344,2.8354,1.732
"catflu_repetition",5,0,0,0,0,0,1,0,0,0,-2.2662,2.0076,3.253
"catflu_intrusion",4,0,0,0,0,1,0,0,0,0,3.9425,1.6825,2.5123
"numseries_incorrect",6,0,0,0,0,0,0,1,0,0,-2.3458,0.6607,-1.07
"backcount_error",2,0,0,1,0,0,0,0,0,0,-0.4723,1.1317,-1.8476
"sgst_normal_incorrect",1,0,1,0,0,0,0,0,0,0,-1.1167,-1.5292,-1.3891
"sgst_reverse_incorrect",1,0,1,0,0,0,0,0,0,0,0.2908,-2.614,-1.0211
"sgst_mixed_nonswitch_incorrect",8,0,0,0,0,0,0,0,0,1,5.1523,-4.5692,1.5325
"sgst_mixed_switch_incorrect",8,0,0,0,0,0,0,0,0,1,4.2148,-4.1284,0.7315
"sgst_mixed_all_incorrect",8,0,0,0,0,0,0,0,0,1,4.9905,-4.4903,1.3915
"B4Q1D",2,0,0,1,0,0,0,0,0,0,1.1396,2.3785,-1.3498
"B4Q1H",3,0,0,0,1,0,0,0,0,0,-2.5997,-2.6914,1.6031
"B4Q1K",4,0,0,0,0,1,0,0,0,0,5.0059,0.258,0.6964
"B4Q1N",4,0,0,0,0,1,0,0,0,0,4.6992,0.9772,0.6643
"B4Q1P",5,0,0,0,0,0,1,0,0,0,-1.0386,3.0831,2.3334
"B4Q1T",6,0,0,0,0,0,0,1,0,0,-1.9455,0.1416,-1.4418
"B4Q1Z",4,0,0,0,0,1,0,0,0,0,4.9964,0.446,0.7884
"B4Q1FF",4,0,0,0,0,1,0,0,0,0,4.2299,0.9231,-0.0389
"B4Q1II",6,0,0,0,0,0,0,1,0,0,-1.998,0.3201,-1.3938
"B4Q1CCC",4,0,0,0,0,1,0,0,0,0,4.1407,1.1409,-0.0385
"B4Q1GGG",1,0,1,0,0,0,0,0,0,0,0.3161,-1.4424,-1.5661
"B4Q1B",2,3e-04,0,1,0,0,0,0,0,0,-0.7859,1.4614,-1.7145
"B4Q1F",8,0,0,0,0,0,0,0,0,1,3.736,-1.7816,-0.4961
"B4Q1M",6,0.0015,0.001,0,0,0,0,0.999,0,0,-2.4104,-1.0427,-1.0454
"B4Q1Q",6,1e-04,0,0,0,0,0,1,0,0,-2.2975,0.881,-1.0395
"B4Q1S",3,0,0,0,1,0,0,0,0,0,-1.8417,-3.2363,0.923
"B4Q1X",6,5e-04,0,0,0,0,0,0.999,0,0,-2.6092,-1.2027,-0.8477
"B4Q1BB",8,0,0,0,0,0,0,0,0,1,3.7118,-2.1456,-0.4125
"B4Q1DD",6,0.0011,0,0,0.001,0,0,0.999,0,0,-2.7655,-1.0557,-0.7487
"B4Q1KK",6,2e-04,0,0,0,0,0,1,0,0,-2.1616,-0.6003,-1.2816
"B4Q1NN",1,0,1,0,0,0,0,0,0,0,-1.6856,-1.667,-1.173
"B4Q1PP",8,0,0,0,0,0,0,0,0,1,0.2608,-3.9844,0.7547
"B4Q1RR",1,0,1,0,0,0,0,0,0,0,1.8517,-2.7412,-0.8581
"B4Q1TT",1,1e-04,1,0,0,0,0,0,0,0,-1.4162,-2.7601,-0.4985
"B4Q1VV",7,0,0,0,0,0,0,0,1,0,-0.5102,3.5554,0.6133
"B4Q1ZZ",2,0,0,1,0,0,0,0,0,0,-0.1105,1.6802,-1.7717
"B4Q1BBB",1,9e-04,0.999,0,0.001,0,0,0,0,0,-1.6102,-2.6876,-0.4764
"B4Q1JJJ",3,0.1542,0.154,0,0.846,0,0,0,0,0,-2.1747,-2.4109,-0.3648
